Review
Very worsted product 
previous i buy in Dec Month 2017 good product revived
now i received tear pants 
am worried for my money 
its going to spoil the Flipkart name  
Respect customer or you will loose the regular customer
Good but diaper leaks when baby sleeps one side.
"When baby sleep one side, the diaper leaks."
Otherwise good one.
Low quality of products
Though the product is good but everytime i purchase the same product the discount is provoded less die to which i end up paying higher price even though being a loyal customer of huggies and Flipkart.  Strange!
"Old products, stored product from warehouse."
"Product Quality Excellent, and service very nice. But, little disappointed product manufactured 21.08.2017 old products selling."
cover full of dirty
not satisfactory.The large size is equal to other brands medium size.
Good product
2
Cheap quality. Diaper rashes are coming due to not having proper absorption
Good product
Very bad product.its leaking
Good
"Very Nice product, timely delivered"
cheaper in BigBazar
Nice products with good service.
Some diaper is worst quality. I think it should be expiry product.
"Perfect seller deliver on next day amazing Flipkart, original product soft and comfortable, 30% less then the market price, must go for it..."
poor product
3
Nice
Supr
I'm happy with ur deal
Very good
bad product
good
This time very bad quality now
it wasn't good at all
good
very bad..
4
worst ga vundi... diapers ...are leaking...loss the..money...
wonder full
Bad quality....
poor quality....dont buy it.Mammy polo pants is the best.
not  good  product
"worst product,"
not good..will not buy it aiain
it's fine
Bad quality
Good
5
It is useful for 5hours at night after that the plant is leaked
he had send a old one nd it coming bad smell stuped diapers
Good
Good product
Nice & classy product... Flip kart delivered it very fast to my location even far away from district hq
excellent service..Timely delivery ....satisfied
Vest off money
Good
nice products
Good product
6
good product
I am using Huggies  for my baby 2 years in Flipkart... truely it's good....
good
Poor quality material
Good product i m taking one more pack for my baby loo range high quality
excellent
good product
awesome
awesome very good product
nice
7
"This is a very bad product, I used 6 pants and 4 were leaking. So no one will buy it........."
worst product received all
Good
its leaking immediately
Good
good
awesome
good product
Poor Quality cheap product i didnt expect this from flipkart
good product
8
nice pants
bad
I have so happy because unexpented time will gets item
"Value for money, fast delivery"
Damage products
very bad quality
bad quality products. my baby got red rashes in her body
very bad this time babys clothes  getting wet
I like  the products...cheaper than market sell
bad quality
9
excellent
very nice product .....quick delivery from flipkart ......must bye the product .....thank u flipkart
nice product
Super good product
very poor quality
Good product
not a good product
Very nice and easy to use.
nice
okk
10
awesome.
my baby is so comfortable. Good product
best
thanks nice product
thanks Flipkart it's amazing
good product
good
leakage within 2 hrs
nice...
quality is not good....last time I bought is good
11
Good product
good
Good
size is too small
I luv Huggies it's very good compare other diaper
leak when baby sleep one side
good..
3rd class diaper..... very bad...... so sad
good
worst quality
12
My baby always get a rash when she use huggies...but this time is for my neighbour's baby..they loved it
this product is really bad..it leaks...doesn't even last 5 hrs where they claims 12 hrs..on top they are calling it next generation wonder pants...but in reality they have downgraded the quality..not recommended...dont buy this..
good
good
superb very good diapers
"Best product at right price, always buy daipers online it's cheap & always on discount."
so soft ☺️ I like it 🤩🤩🤩
nice
good product
good
13
excellent
good
Super quality
"smells better than pampers, softer than pampers at lower price . must buy"
good and product on excellent condition
okay
Good choice
good
good
There is so much delays in delivery! Product was ok.
14
Xclnt
Good.
thickness reduced
Good one
ok
good
like it
very comfortable
Superb product and Flipkart delivery
nice
15
good
very good
GOOD
Good
very bad quality
good and nice
"Not good, Heavy leakage problem"
good product
Good
top brand
16
genuine products
nice product
good product with package
Very poor quality. leaks
ok
nice
Good
Good
nice
very bad quality
17
good
the quality of the product is not as usual it was not as expected
good quality
very bad product
"ok ok hai,but price is not right"
Worst product its leaking
its ok
value for money
vry bad prouduct
good
18
nice product I like it
super
I m not satisfied with Ekart member.
bad product .....leaked very soon
nice product
as always thank Flipkart
not good
very best product
nice
good product
19
well
Good
nicee
very nice
good
very bad quality
awesome.. soft.. no leakage... fits perfect..
good product for baby.
good product
good
20
good
nice
Huggies pants are good and easy to remove . I like softness and smooth smell is very nice .thankq
Good quality product
bad quality
excellent
"nice,,,,,"
very good product
nice and perfect fitting
Highly recommended 
Best Product in the market
21
Gud
awsm products
nice from flipkart
Great
nice
very good product
The quality of the product is satisfactory.
nice product
Very good
large not good
22
nys
good product...
Best quality
good
Good product
I am satisfied
Not bad
Bad product.
too bad
super
23
super
leakage problem
leakage problem
Quality is Not Good
good
nice
best
waste of money.it's very cheap quality.
Good product fast delivery thanks  flipcart
good one
24
ok
nice
very bad product
Good
Very poor quality
ok
nice product
good product.
awesome product
Absorbs well
25
Super
Good
superb quality
nice packing.... Good product.... thank you flipcart
Good
I love it
best
excellent
duper
Very happy to shop here
26
Best
nice
product is very bad donor purchase anyone please it's my request quality is very low.its better to purchase from mall.
very good product
good product
Good product and good delivery
good
good
ok
not good
27
Good
good
good
good
good
"nice product , shipping time and delivery time is very fast"
superb
Was okay
product is not good better the old one quality low
"Most important for baby good packages, tq flipkart."
28
nice
good
Not good
super good product
thanks for quick delivery
perfect
Good
tq Flipkart
Delivery on time but quality is OK not up to the standard
nice
29
nice
good
very good quality
nice
Good
great item ...
likej
very Bad product
good quality
Flipkart app is optimised for every time
good product
30
Low quality and leaking problem
excellent 👍
Good
Good product
Its good
Good...
good
ok
grt
Excellent
31
Good product
Poor quality. Very bad
very good.... and nice
good quality
good
I am happy
good
good  product
Not happy
good one.. good price..
32
Very good
good
Ok..but small size
good product
Delivery time was awesome...
low quality
No quality
perfect size better quality
good
poor quality
33
very good
good
very good
"good , I always use for my baby"
Good
Best
nice
good quality and perfect my baby
Everything is ok
good item
34
thanks you
no 1 product
not good quality not worth for money mamokony best diaper then huggies
thanks
Dipper is good
Nice
good quality
Very nice
bad quality
value for mny... nice
35
no bad
good products
Thank you flipkart
good quality
Low quality
nice
NiCe product
satisfied
"Good Absorber , better then Mamy Poko pants"
nice
36
useful
nice very soft
Very good
good
nice
very comforatble for my baby.....
good
good
Thanks flipcart
good
37
Okay but not gud there is leakage problem😠
Children friendly.
thank q
nice
very good product thank you Flipkart
ok
not bad.
good
ok  good
very nice
38
good quality
nice
nice
some one damaged
Nice
Good Product.
good
lockage problem h
Very good
hapoy
39
Very nice
my all time favourite
Very good
Very good product very good service
good
superb !!!!
Good
good at best price
Sooper
excellent
40
super
this diaper gave rashes to my baby. simply pathetic
nice
World diapers.. I am using same product since 1 year but not facing problem but when I have purchased from flipkart it is worst and leaking..
Good product
Product is in very good condition.
good product
very good
nice
"Waste product, don't buy it, go for mummypoko it's really good"
41
good
super
good
Good item
Good quality diapers
"ok good, comfortable for my son"
good but worst package
"very good product, price is awesome"
dilvery is good but product is different.  My  last order product same but this product is not good.
nice
42
nice
not good leakage problems
Nice
good product
good
Nice products
Good
"Amazing product, some lickege on few pieces. But overall good and cheap product."
thanks
good
43
My baby feels comfortable.. Thank you.
Good
must buy..
super
poor absorbing quality leaked very soon within 2 to 3 hrs
good
"Product is good, but delivery was very late."
I m happy
good product
"Very bad quality product ,hazard for baby, produce rashes on skin of baby very bad product."
44
good
good
very happy
very good quality
good
nice
Not good.....very bad quality
excellent
it's good
Good
45
good
low quality
leaking some time
Absorbs more than some other brands
best
Good
good product.
goooooood
superb
good
46
Thanks
good product
Best prodect
little bit of uncomfort
always perfect
Nice product low pirce
i ami satisfied
thank u
good
thankx flipkart...
47
Same as mentioned
good
Product is good. I am satisfied
nice
awesome product. fast delivery.... i impressed.
nice
average
best ever
nice Dipper
nice Dipper
48
vry good for my baby
very good
Value for money
vèry nice
Nice
good
"minus one * cause of the smell, rest are perfect"
good
"Its awesome . genuine product , before time delivery service and good quality product . love it"
Good
49
product good
Not so good quality
excellent
very bad product....I am not satisfied
nyc
too good
Worst quality pants. It leaks always. Pampers brand is best for babies. Not satisfied with the quality
super nice
Good
Awesome....
50
Good
very quick delivery ia m happy
good product
good
worth to buy
nice
good
great
great
nice
51
average diaper
nice product
Good
nice
super
nice diaper my baby safe thanks
nice
"Nic product,"
Product quality not good
Very good
52
not satisfied pdt
it's leaking
very good product
Super
Super
Linkage and not good
good
good product
satisfied
Nice product
53
excellent
good
good quality
Nice
"good product,very comfy for babies"
good
ok
very Good product. delivered item is very fast.thanks flipkart
good
Not bad
54
Good product and service
good
super
good product
good
good
nice
good product.very nice
best
perfect
55
nice
great product and very very very fast delivery
nice
good
nic
Price should be less for big packs.
good
Excellent
it's always good
The product is good...n delivered it's too fast..thanks to flipkart n mukund the  courier.
56
Thanks Flipkart for the best price and fast delivery.
good
OK ok
Nice product
Good product
must buy good product and observations is awesome
good product bought many times.
nice
nice one
nice one
57
nice product
value of money
good
nice product
nice
It's gud
Good
good
super
super
58
nice product.
It's good
five star.
Good
great product
good
"very nice product, thank u flipkart"
good
nice
good
59
as expected
good
good
good
good product
average
good
nice product
good
good
60
good
Good product
very nice and good product
nice
price low as compared to market
good product
nice.......
Very good product and service
good
good
61
its leaking
awsome
nice product
good
good product
good
good
nice
awesome product very comfortable
Good product..value for money
62
Nice
I purchased 553 only good deal
not good at all. worst product of this company.
"Good product & intime delivery ,"
Very nice
good
very good
very  worst product. diaper leaked within 1 or 2 hour...
nice
Wowee
63
very good product.i am satisfied
good
nice
we always use this product.
good absorption
Nice
OK
product is good
good
good choice..
64
gud
nice
after use this product baby's skin so chip chip
nice
"Not good , leaking problem"
very good
good product
good
Heavy Leakage
nice
65
awesome
nice product
Best
Nice
very nice
great
its very nice product must buy for little ones
Bad quality licking very quick never buy
thank u flipkart for giving it on very low price than market
good product
66
nice
"nice product and delivered on time, Good job flipkart"
good
not so good this time
Good
Awesome
good product thanks Flipkart
very good 👌
good product
bad quality
67
good
very bad product
nice
nice
nice
product is good
Nice
nice
nice price
good
68
"love it.  no one can beat it. like that fragrance, I won't use room fresher. it makes pleasant smell in our room."
excellent purchase ty fk
